claimId,claimText,linearTrackVerdict,linearTrackConfidence,parallelTrackVerdict,parallelTrackConfidence,latestFinancialContribution,masterSynthesisJudgment,masterSynthesisConfidence,sourceIds,blockingItems,bindingBearItems,disagreementNote
C-001,"Seneca Foods (SENEA) trades below tangible book value on a FIFO-adjusted basis.",unresolved,low,unresolved,low,"Anchored FIFO-adjusted equity (after-tax 24.9%) at $902,823,000; reported equity at $633,023,000",unresolved-closing-discount-risk,medium-low,"S-001;S-007;S-009;S-010;S-011","F-006;F-007;U-G2-2;M-001;M-003",B-010,"Linear track ranks mechanism bias positive; parallel track flags aggregator combined SENEA + SENEB market cap (~$1.8-1.9b) is above $902.8m FIFO-adjusted equity. Both positions preserved."
C-002,"Seneca trades at or below NCAV when inventory is restated to FIFO.",unresolved,low,unresolved,low,"Anchored FIFO-adjusted NCAV (after-tax 24.9%) at $477,048,000; reported NCAV at $207,248,000",unresolved-closing-discount-risk,medium-low,"S-001;S-007;S-009;S-010;S-011","F-006;F-007;U-G2-2;M-001;M-003",B-010,"Same closing-discount risk as C-001."
C-003,"Reported earnings materially understate FIFO earnings power because of a $359.3m LIFO reserve.",partial,medium,partially_supported,medium,"Anchored FY2025 LIFO charge at $34,474,000; FIFO EBITDA $171,432,000; adjusted net earnings $67,114,000; statutory tax rate 24.9%",partial,medium,"S-001;S-010","F-005;F-008;P-006;M-004","B-005;B-010","Both upstream tracks classify as partial. Latest-financial track materially advances the bridge by anchoring multiple numerical inputs. C-003a (LIFO reserve magnitude) supported across all three tracks; C-003b (FIFO earnings power across cycles) pending multi-year bridge (M-004)."
C-004,"Seneca has compounded book value per share over a 20-year window despite minimal sell-side coverage.",unresolved,low,unresolved,low,Out of scope for the latest-financial single-year rebuild,unresolved,low,"S-001;S-002;S-007;S-010;S-011","F-005;F-007;U-G2-6",B-008,No disagreement.
C-005,"U.S. private-label vegetable canning is an oligopoly in which Seneca and Lakeside Foods account for ~90% of supply.",unresolved,low,unresolved,low,Out of scope,unresolved,low,"S-001;S-004;S-016","P-001;P-002;Q-001;U-G1-5","B-004;B-008","No disagreement. Both tracks agree Lakeside primary material is not retrieved; Q-001 (which competitor Lakeside names) and Q-IS-A (national vs regional measurement basis) are blocking."
C-006,"Del Monte Pacific deconsolidated its U.S. Del Monte Foods business effective May 2025; that subsidiary subsequently filed for Chapter 11.",partial,medium,partially_supported-anchor-only,medium,Out of scope,partial-anchor-only,medium,"S-003;S-008;S-014","P-004;P-005;Q-004;U-G1-3;U-G1-4;U-G3-2;U-G3-3;U-G3-4;U-G3-5",B-003,"Parallel track sharpens linear classification by distinguishing terminal events (DMC-07, DMC-08 anchored to S-003 and S-008) from pre-2025 conduct sequence (DMC-01..DMC-06 with no source ID). Master adopts parallel framing."
C-007,"SENEA was deleted from the S&P SmallCap 600 in July 2023, producing forced selling pressure independent of fundamentals.",partial,medium,unresolved,"high (in unresolved verdict; data not collected)",Out of scope,partial-deletion-fact-magnitude-unresolved,medium,"S-002;S-018;S-020","Q-003;R-001;R-009;U-G4-1;U-G4-2;U-G4-3;U-G4-4;U-G4-5;U-G4-6",,"Linear grades partial because deletion is pointer-anchored; parallel grades unresolved because no event-window magnitude can be computed without OHLCV / ETF holdings / factor returns. Both positions preserved."
C-008,"Seneca has executed material share repurchases relative to float, supporting per-share compounding.",unresolved,low,partially_supported,medium,Out of scope,partial,medium,"S-001;S-005;S-011",F-004,B-007,"DISAGREEMENT. Parallel corroborates March 2021 modified Dutch auction (1,449,339 Class A at $51.62, ~$74.81m, ~17.07% of relevant float) via issuer press releases; linear track does not credit press-release-level evidence. Master adopts parallel framing for the single corroborated event; full ledger remains pending."
C-009,"Seneca has minimal sell-side analyst coverage, contributing to the discount.",partial,low,unresolved,low,Out of scope,partial-pointer-only,low,"S-006;S-018","R-009;U-G1-6",B-002,"Linear grades as partial at the source-pointer level (S-006); parallel grades as unresolved because S-006 has not been retrieved."
C-010,"Seneca operates a dual-class share structure with concentrated insider/family voting control.",partial,low,unresolved,low,Out of scope,partial-structure-only,low,"S-001;S-005","Q-006;P-009;U-G1-2;U-X-2",B-007,"Both tracks agree dual-class structure is anchored and combined family voting share is pending. Linear grades structure point as partial; parallel grades family-voting sub-claim as unresolved. Master synthesis: partial on structure; voting concentration unresolved."
C-011,"Seneca has demonstrated pricing-cost recovery across crop, steel/tinplate, freight, and labor cycles.",unresolved,n/a (deferred),not-tested,n/a,Out of scope for single-year rebuild,unresolved-deferred,n/a,"S-001;S-007;S-017","P-006;Q-002;U-X-3;M-004","B-005;B-006","No substantive disagreement. Linear defers; parallel did not include this family. Master synthesis preserves as unresolved-deferred."
