ledgerClaimId,family,claimText,originalVerdict,originalConfidence,synthesisJudgment,synthesisConfidence,sourceIds,notes
C-001,valuation,"Seneca Foods (SENEA) trades below tangible book value on a FIFO-adjusted basis.",unresolved,low,unresolved,low,S-001;S-007,"Aggregator-derived FIFO-adjusted equity ~$902.8m before goodwill/intangible deductions; goodwill/intangibles not retrieved from filing; aggregator share counts mutually inconsistent (CE-01)."
C-002,valuation,"Seneca trades at or below net current asset value (NCAV) when inventory is restated to FIFO.",unresolved,low,unresolved,low,S-001;S-007,"Reported NCAV ~$207m; FIFO-adjusted NCAV ~$566m gross / ~$477m net of 24.9% deferred tax; primary share-count and per-class market price not reconciled."
C-003,valuation,"Seneca's reported earnings materially understate FIFO earnings power because of a $359.3m LIFO reserve.",partially_supported,medium,partially_supported,medium,S-001,"LIFO reserve magnitude (C-003a) supported high; FIFO earnings power (C-003b) unresolved low; reconciliation table not retrieved (Q-005)."
C-004,valuation,"Seneca has compounded book value per share over a 20-year window despite minimal sell-side coverage.",unresolved,low,unresolved,low,S-001;S-007,"GuruFocus tabulation gives BVPS $77.16 Dec 2022 with 10y avg 7.40% and 5y 10.90%; full FY2005-FY2025 series not rebuilt."
C-005,industry-structure,"U.S. private-label vegetable canning is an oligopoly in which Seneca and Lakeside Foods account for ~90% of supply.",unresolved,low,unresolved,low,S-001;S-004,"Q-001 (which competitor Lakeside names) and Q-IS-A (national vs regional vs category-narrow basis) are blocking; Lakeside primary material not retrieved."
C-006,delmonte-change,"Del Monte Pacific deconsolidated U.S. Del Monte Foods effective May 2025 and the U.S. business filed Chapter 11.",partially_supported,medium,partially_supported-anchor-only,medium,S-003;S-008,"DMC-07 and DMC-08 supported_by_anchor in pack but underlying filings/dockets not quoted into repo; DMC-01..DMC-06 conduct sequence has no source ID and is unresolved."
C-007,index-selling,"SENEA was deleted from the S&P SmallCap 600 in July 2023, producing forced selling pressure independent of fundamentals.",unresolved,high,unresolved,high,S-001;S-002;S-007,"Confidence is in the unresolved verdict itself; OHLCV/ETF holdings/factor returns not collected; Decision Gate 4 unmet."
C-008,governance-buybacks,"Seneca has executed material share repurchases relative to float, supporting per-share compounding.",partially_supported,medium,partially_supported,medium,S-001;S-005;S-007,"March 2021 modified Dutch auction (~17.07% of relevant float at $51.62) corroborated by issuer press releases; full FY2005-FY2025 buyback ledger and 10-K Item 5 monthly issuer-purchase table not retrieved."
C-009,governance-buybacks,"Seneca has minimal sell-side analyst coverage, contributing to the discount.",unresolved,low,unresolved,low,S-006,"S-006 (IR coverage page + consensus-estimate vendor) not retrieved."
C-010,governance-buybacks,"Seneca operates a dual-class share structure with concentrated insider/family voting control.",unresolved,low,unresolved,low,S-001;S-005,"Q-006 explicitly flags family voting concentration as unverified; FY2025 DEF 14A and 10-K not retrieved."
C-011,not-tested,"Seneca has demonstrated pricing-cost recovery across crop, steel/tinplate, freight, and labor cycles.",not-tested,n/a,not-tested,n/a,S-001,"Not part of this round of parallel claim tests; preserved as not-tested rather than rolled into a synthesis judgment."
