ticker,company,exchange,fit_class,m1_asset_backed,m2_accounting_hidden_lifo,m3_undercovered_smallcap,m4_forced_selling_index_deletion,m5_insider_family_control,m6_buyback_support,m7_boring_durable_niche,mechanism_fit_note,linked_senea_criteria_source_ids,verification_status,verification_items
HNFSA,Hanover Foods Corporation,OTC (dark / very thinly traded),direct-industry-peer,Y,Y,Y,Y,Y,~,Y,"Closest industry analog: private-label canned vegetables / sauces, family-controlled dual-class, very thin float, LIFO accounting. Confirms the SENEA mechanism rather than diversifies it.",S-001;S-004;S-005;S-006,unresolved-needs-primary-source-verification,U-001
IMKTA,"Ingles Markets, Incorporated",NASDAQ,lifo-family-control-asset-backed,Y,Y,Y,~,Y,Y,Y,"Dual-class family-controlled grocer with LIFO, owned-real-estate book, low coverage, multi-decade buyback history. Same mechanism class as SENEA across food retail.",S-001;S-005;S-006,unresolved-needs-primary-source-verification,U-001
DDS,"Dillard's, Inc.",NYSE,lifo-family-control-asset-backed,Y,Y,~,N,Y,Y,Y,"Family-controlled dual-class department store with LIFO, owned-real-estate base, structural buybacks of historic magnitude. Coverage exists but mechanism is extreme; included to size the M2/M5/M6 confluence.",S-001;S-005,unresolved-needs-primary-source-verification,U-001
WMK,"Weis Markets, Inc.",NYSE,lifo-family-control-asset-backed,Y,Y,Y,~,Y,~,Y,"Family-controlled grocer with LIFO, owned-real-estate book, undercovered. Buyback program smaller than DDS / IMKTA.",S-001;S-005;S-006,unresolved-needs-primary-source-verification,U-001
JBSS,"John B. Sanfilippo & Son, Inc.",NASDAQ,direct-industry-peer,Y,Y,Y,N,Y,~,Y,"Family-controlled (Class A super-voting) snack / nut processor; LIFO inventories; modest sell-side coverage; durable private-label-heavy customer base.",S-001;S-005;S-006,unresolved-needs-primary-source-verification,U-001
LAS.A,Lassonde Industries Inc.,TSX,direct-industry-peer,Y,~,Y,N,Y,~,Y,"Canadian family-controlled dual-class fruit-juice / private-label processor; asset-backed; under-covered ex-Canada. Mechanism analog without the U.S. LIFO tax effect.",S-005;S-006,unresolved-needs-primary-source-verification,U-001
BRID,Bridgford Foods Corporation,NASDAQ,direct-industry-peer,Y,Y,Y,Y,Y,N,Y,"Family-controlled snack / frozen-dough manufacturer; LIFO; very thinly traded; small-cap-index-vulnerable.",S-001;S-005;S-006,unresolved-needs-primary-source-verification,U-001
TR,"Tootsie Roll Industries, Inc.",NYSE,direct-industry-peer-mechanism-reference,Y,~,Y,N,Y,Y,Y,"Founding-family dual-class (super-voting) confectionery; durable niche; conservative balance sheet; persistent buybacks. Tends to trade at a premium not a discount; included as a mechanism reference, not a value comparable.",S-001;S-005,unresolved-needs-primary-source-verification,U-001
CALM,"Cal-Maine Foods, Inc.",NASDAQ,direct-industry-peer,Y,N,~,N,Y,N,Y,"Founding-family dual-class egg producer; asset-backed agricultural niche; mechanism partial (no LIFO inventory cushion of canning scale; dividend-led capital return rather than buyback-led).",S-005,unresolved-needs-primary-source-verification,U-001
MUEL,Paul Mueller Company,OTC (dark-stock-like; SEC-reporting),lifo-family-control-asset-backed,Y,Y,Y,Y,Y,~,Y,"Family-controlled stainless-steel processing-equipment manufacturer; LIFO; very thin float; SEC-reporting but dark-stock-like. Strong M1/M2/M3/M4/M5 overlap with SENEA.",S-001;S-005;S-006,unresolved-needs-primary-source-verification,U-001
FRD,"Friedman Industries, Incorporated",NYSE American,lifo-small-cap-asset-backed,Y,Y,Y,Y,~,Y,Y,"Steel-coil processor; LIFO; small-cap-index-vulnerable; asset-backed. Insider ownership material but not strict family-control.",S-001;S-006,unresolved-needs-primary-source-verification,U-001
ZEUS,"Olympic Steel, Inc.",NASDAQ,lifo-small-cap-asset-backed,Y,Y,Y,N,~,Y,Y,"Steel service center with LIFO; insider ownership material; durable mid-stream niche; periodic buyback.",S-001;S-006,unresolved-needs-primary-source-verification,U-001
