claimId,claimText,evidenceCategory,sourceId,sourceTitle,publisher,urlOrCitation,evidenceStatus,bindsBearCase,blockingPrimaryChecks,notes
IC-001,"Seneca and Lakeside together account for ~90% of U.S. private-label vegetable canning",competitor-structure,S-001,"Seneca Foods FY2025 Form 10-K (Item 1 Business, Item 1A Risk Factors)","Seneca Foods Corporation / U.S. SEC","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=10-K",unverified,B-004,"P-001;P-002","Seneca's own competitive-position language has not been quoted in this validation pass."
IC-001,"Seneca and Lakeside together account for ~90% of U.S. private-label vegetable canning",competitor-structure,S-004,"Lakeside Foods public statement that Lakeside and one other competitor account for ~90% of U.S. private-label vegetable canning","Lakeside Foods, Inc.","Lakeside Foods website / quoted industry interview material archived in plan Quick Source Anchors",unverified,B-004,"P-002","Self-reported corporate statement; interest-conflicted; date and venue must be archived verbatim."
IC-001,"Seneca and Lakeside together account for ~90% of U.S. private-label vegetable canning",competitor-structure,S-016,"Circana / NielsenIQ retail-scanner aggregates on U.S. canned vegetable category dollar and unit trend","Circana (IRI) / NielsenIQ","Circana / NielsenIQ syndicated panel aggregates as cited in trade press",unverified,B-004,"P-002","Required to triangulate the 90% figure independently of the Lakeside source."
IC-002,"Lakeside Foods is the second of the two private-label canned-vegetable producers of scale in the U.S.",competitor-structure,S-004,"Lakeside Foods public statement","Lakeside Foods, Inc.","Lakeside Foods website / quoted industry interview material",partially-verified,,"P-002","Identity and presence are well established; 'of scale' qualifier requires syndicated triangulation."
IC-002,"Lakeside Foods is the second of the two private-label canned-vegetable producers of scale in the U.S.",competitor-structure,S-013,"Public materials and trade press for smaller U.S. canned-vegetable players","Company corporate websites and food-industry trade press","Trade-press references (Food Dive, Food Business News, The Packer)",partially-verified,,"P-002;P-003","Trade press is consistent with Lakeside's scale claim; quantitative share is not anchored."
IC-002,"Lakeside Foods is the second of the two private-label canned-vegetable producers of scale in the U.S.",competitor-structure,S-016,"Circana / NielsenIQ retail-scanner aggregates","Circana (IRI) / NielsenIQ","Subscription-restricted syndicated panel aggregates",partially-verified,,"P-002","Definitive triangulation source for share by manufacturer."
IC-003,"Del Monte Foods (U.S.) is a significant branded participant in the U.S. canned-vegetable category",competitor-structure,S-003,"Del Monte Pacific FY2025 annual report and SGX/PSE disclosure filings","Del Monte Pacific Limited","https://www.delmontepacific.com/investors",partially-verified,B-003,"P-005","Pointer-anchored; quoted text on U.S. business scope not yet archived."
IC-003,"Del Monte Foods (U.S.) is a significant branded participant in the U.S. canned-vegetable category",competitor-structure,S-008,"Del Monte Foods (U.S.) Chapter 11 docket","U.S. Bankruptcy Court (PACER) / Del Monte Foods press release","PACER docket; Del Monte Foods newsroom",partially-verified,B-003,"P-004","Filing characterizes the U.S. business; 'significant branded participant' qualifier needs quoted language."
IC-003,"Del Monte Foods (U.S.) is a significant branded participant in the U.S. canned-vegetable category",competitor-structure,S-014,"Trade press coverage of Del Monte Foods (U.S.) Chapter 11","Reuters / Bloomberg / WSJ / Food Dive","Reuters and WSJ wire copy; Food Dive coverage",partially-verified,B-003,"P-004","Trade press contextualizes the brand and product portfolio."
IC-004,"A long tail of smaller U.S. canned-vegetable producers comprises the residual share of supply",competitor-structure,S-013,"Public materials and trade press for Hanover Foods, Faribault Foods, Furmano's, Truitt Bros., Allens / Sager Creek","Company corporate websites and trade press","Trade-press references (Food Dive, Food Business News, The Packer)",unverified,,"P-003","Companies are private; SEC-quality disclosure not available."
