metric,label,period,units,reported,fifo_adjusted_pretax,fifo_adjusted_aftertax,status,source_ids,claim_ids,notes
lifo_reserve,"LIFO reserve, year-end",FY2025,USD millions,359.3,,,anchored,S-001,C-003,"Anchored verbatim in plan Quick Source Anchors and upstream claims pack."
lifo_reserve_prior_year,"LIFO reserve, prior year-end",FY2024,USD millions,,,,pending,S-001,C-003,"Comparative-year value from FY2025 10-K LIFO note required to compute LIFO charge."
lifo_charge,"LIFO charge (period change in LIFO reserve)",FY2025,USD millions,,,,pending,S-001,C-003,"Computed as lifo_reserve_FY2025 minus lifo_reserve_FY2024."
effective_tax_rate,"Effective income tax rate",FY2025,percent,,,,pending,"S-001;S-010",C-003,"From FY2025 10-K Income Taxes note effective-rate reconciliation; floor 21% per S-010."
reported_pretax_income,"Reported pre-tax income (LIFO basis)",FY2025,USD millions,,,,pending,S-001,C-003,"From the consolidated income statement of the FY2025 10-K."
reported_net_earnings,"Reported net earnings (LIFO basis)",FY2025,USD millions,,,,pending,S-001,C-003,"From the consolidated income statement of the FY2025 10-K."
reported_operating_income,"Reported operating income",FY2025,USD millions,,,,pending,S-001,C-003,"Used as the EBITDA starting point before D&A add-back."
reported_depreciation_amortization,"Depreciation and amortization",FY2025,USD millions,,,,pending,S-001,C-003,"From the consolidated cash-flow statement of the FY2025 10-K."
reported_ebitda,"Reported EBITDA",FY2025,USD millions,,,,pending,S-001,C-003,"Operating income plus D&A; LIFO basis."
fifo_pretax_income,"FIFO-adjusted pre-tax income",FY2025,USD millions,,,,pending,S-001,C-003,"reported_pretax_income + lifo_charge."
fifo_net_earnings,"FIFO-adjusted net earnings",FY2025,USD millions,,,,pending,"S-001;S-010",C-003,"reported_net_earnings + lifo_charge * (1 - effective_tax_rate)."
fifo_ebitda,"FIFO-adjusted EBITDA",FY2025,USD millions,,,,pending,S-001,C-003,"reported_ebitda + lifo_charge. Pre-tax bridge by definition."
fifo_eps,"FIFO-adjusted diluted EPS",FY2025,USD per share,,,,pending,"S-001;S-010;S-011",C-003,"fifo_net_earnings divided by Class A + Class B diluted shares."
reported_inventory,"Inventories, net (LIFO basis)",FY2025,USD millions,,,,pending,S-001,C-001,"From the consolidated balance sheet of the FY2025 10-K."
fifo_inventory_adjustment_gross,"FIFO inventory adjustment (gross)",FY2025,USD millions,,359.3,,anchored,S-001,"C-001;C-002","Identically the FY2025 LIFO reserve."
fifo_inventory_adjustment_after_tax,"FIFO inventory adjustment (after-tax)",FY2025,USD millions,,,,pending,"S-001;S-010","C-001;C-002","359.3 * (1 - effective_tax_rate)."
