sourceId,title,publisher,urlOrCitation,sourceType,registerConfidence,retrievalStatus,usedFor,upstreamTracks,upstreamArtifacts
S-001,"Seneca Foods FY2025 Annual Report on Form 10-K (LIFO accounting, $359.3m LIFO reserve, FIFO adjustments, balance sheet, Item 1 Business, Item 1A risk factors, Item 5 issuer purchases, Income Taxes note, cover-page share counts)","Seneca Foods Corporation / U.S. Securities and Exchange Commission","https://www.sec.gov/Archives/edgar/data/88948/000143774925020197/senea20250331_10k.htm",primary-filing,high,"numerically-retrieved-by-latest-financial-track-via-SEC-company-facts-API; textual disclosures (Item 1, Item 1A, Item 5 monthly issuer-purchase table) still pending","C-001;C-002;C-003;C-004;C-005;C-006;C-008;C-010;C-011;IC-001;IC-006;IC-009;B-002;B-005;B-006;B-010;E-002;E-003;E-008",latest-financial;linear;parallel,"latest-financial-rebuild.json;latest-financial-rebuild.csv;latest-financial-rebuild.md;final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json;parallel-claim-synthesis.md"
S-002,"S&P Dow Jones Indices announcement of July 2023 SENEA deletion from S&P SmallCap 600","S&P Dow Jones Indices","https://www.spglobal.com/spdji/en/index-announcements/",index-notice,high,not-retrieved,"C-007;E-001",linear;parallel,"final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json;parallel-claim-synthesis.md"
S-003,"Del Monte Pacific Limited FY2025 annual report describing classification of U.S. Del Monte Foods as discontinued operations and deconsolidation effective May 2025","Del Monte Pacific Limited (SGX/PSE listed)","https://www.delmontepacific.com/investors",primary-filing,high,not-retrieved,"C-006;IC-006;DMC-07;E-004",linear;parallel,"final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json;parallel-claim-synthesis.md"
S-004,"Lakeside Foods public materials referencing the ~90% U.S. private-label vegetable-canning statement","Lakeside Foods, Inc. (corporate communications / interview transcript)","Lakeside Foods website and quoted industry interview material (to be archived)",industry-statement,medium,not-retrieved,"C-005;IC-001;IC-002;B-004",linear;parallel,"final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json;parallel-claim-synthesis.md"
S-005,"Seneca Foods FY2025 DEF 14A proxy statement (dual-class voting, beneficial ownership, related-party transactions, board independence, change-of-control provisions, buyback authorizations)","Seneca Foods Corporation / U.S. Securities and Exchange Commission","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=DEF+14A",primary-filing,high,not-retrieved,"C-008;C-010;B-007;E-003;E-008",linear;parallel,"final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json;parallel-claim-synthesis.md"
S-006,"Seneca Foods Investor Relations coverage page and consensus-estimate vendor records","Seneca Foods Corporation Investor Relations / consensus-estimate vendor","https://investor.senecafoods.com",issuer-disclosure,medium,not-retrieved,"C-009;E-009",linear;parallel,"final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json;parallel-claim-synthesis.md"
S-007,"Seneca Foods historical 10-K and 10-Q filings (FY2005-FY2025) for time-series rebuild","Seneca Foods Corporation / U.S. Securities and Exchange Commission","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=10",primary-filing,high,not-retrieved,"C-001;C-002;C-004;C-008;C-011;E-006",linear;parallel,"final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json;parallel-claim-synthesis.md"
S-008,"Del Monte Foods (U.S.) Chapter 11 bankruptcy filing and supporting docket records","U.S. Bankruptcy Court (PACER docket) / Del Monte Foods press release","PACER bankruptcy docket and Del Monte Foods newsroom",court-record,high,not-retrieved,"C-006;IC-007;DMC-08;B-003;E-005",linear;parallel,"final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json;parallel-claim-synthesis.md"
S-009,"SENEA Class A reference price snapshot (archived closing price at or near 2026-04-30)","Market data vendor / archived screenshot","Pending: market-data vendor source (to be added to source register)",market-data,medium,not-retrieved,"C-001;C-002;F-006;M-001",linear;master-new,"final-investment-report.json;master-diligence-report.json"
S-010,"U.S. federal statutory tax rate / SENEA effective tax rate cross-reference","U.S. Internal Revenue Service / Seneca Foods FY2025 10-K Income Taxes note","Federal statutory rate (21%) and Seneca disclosed statutory rate (24.9%) per FY2025 10-K Income Taxes note",reference-rate,high,"partially-anchored-by-latest-financial-track (24.9% disclosed statutory rate); 21% federal floor preserved as bear-case sensitivity B-010","C-001;C-002;C-003;F-002;B-010",latest-financial;linear,"latest-financial-rebuild.json;final-investment-report.json"
